Timestamp,Name,Country,Do you own a wrist watch(smart watch also),why kind of watch do you own ?,How many watches do you own. (Number ONLY),if analog watch. what movement ?,favorite Watch Brand of the watches you own ,favorite watch Brand in general,Dream watch,What is the family's income band ? (per year),do you contribute significantly in your family income
Laptop,Priya Nair,india,no,No,No,yes,Yes,Laptop,Smartphone,2.5,3.7
Smart watch,Rahul Mehta,India,Yes,no,yes,yes,No,no,Smartwatch,3.7,10.3
Smart watch,Aarav Sharma,INDIA,No,yes,no,yes,No,Laptop,Smart watch,10.3,9.0
Smartphone,Rohan Patil,India,no,yes,Yes,yes,Yes,,No,9.0,3.7
yes,Pooja Deshmukh,Inda,yes,No,No,No,No,Yes,No,9.0,9.0
No,Sneha Kulkarni,Inda,no,yes,No,Smartphone,yes,Tablet,Smartphone,10.3,9.0
Smartphone,Rohan Patil,India,No,Yes,Yes,no,Yes,Smartphone,Smart watch,10.3,2.5
Laptop,Rohan Patil,India,No,yes,No,no,No,Tablet,Smartphone,9.0,3.7
yes,Neha Joshi,Inda,No,No,Yes,Smartphone,Yes,Smartwatch,yes,10.3,10.3
No,Kunal Shah,Inda,,no,yes,yes,Yes,Smartwatch,yes,2.5,9.0
,Aarav Sharma,india,no,Yes,no,Smartwatch,No,Smartphone,Laptop,2.5,10.3
Smart watch,,India,,Yes,yes,No,Yes,Tablet,no,9.0,10.3
Smartwatch,,INDIA,Yes,No,yes,no,No,yes,no,3.7,10.3
no,Rohan Patil,india,No,no,No,Tablet,yes,No,Laptop,9.0,10.3
Tablet,Amit Verma,india,Yes,Yes,yes,yes,No,No,No,10.3,10.3
no,Aarav Sharma,Inda,no,no,,no,Yes,,Smart watch,9.0,3.7
no,Rohan Patil,india,no,yes,no,No,no,Laptop,Laptop,2.5,2.5
no,Ankit Pawar,India,Yes,No,Yes,no,Yes,Tablet,Tablet,3.7,10.3
Yes,Priya Nair,India,No,yes,yes,Yes,Yes,Tablet,Smartphone,2.5,10.3
Smartwatch,Kunal Shah,india,yes,yes,yes,Smart watch,No,Smartphone,yes,10.3,2.5
Smart watch,Kunal Shah,India,No,no,Yes,yes,Yes,Smart watch,Tablet,9.0,10.3
yes,Pooja Deshmukh,india,yes,yes,no,Smart watch,Yes,Yes,Tablet,9.0,10.3
Laptop,Priya Nair,INDIA,Yes,yes,no,Smartphone,Yes,no,Smartphone,10.3,10.3
Smart watch,Kunal Shah,india,yes,,Yes,Smartphone,No,Smart watch,no,9.0,3.7
Yes,Amit Verma,India,no,No,,yes,yes,Yes,yes,3.7,10.3
Smartwatch,,India,No,No,no,Smartphone,no,Smart watch,Smartphone,10.3,10.3
no,Aarav Sharma,india,no,Yes,yes,no,no,Laptop,Smartwatch,,10.3
Tablet,Neha Joshi,Inda,no,no,yes,yes,yes,Tablet,Smart watch,10.3,2.5
Smartwatch,Pooja Deshmukh,Inda,no,Yes,,no,no,Yes,Smartwatch,2.5,2.5
,Sneha Kulkarni,india,No,yes,No,Smartwatch,No,no,Smart watch,2.5,9.0
yes,Rahul Mehta,INDIA,no,No,No,,no,Smartwatch,no,2.5,9.0
Smart watch,Pooja Deshmukh,india,yes,no,no,Smartwatch,Yes,yes,no,10.3,9.0
no,Rohan Patil,india,yes,yes,yes,Laptop,no,Smartwatch,yes,10.3,9.0
,Rahul Mehta,Inda,no,no,Yes,Tablet,No,Yes,,10.3,9.0
yes,Amit Verma,INDIA,no,Yes,,Laptop,No,Laptop,Smart watch,9.0,9.0
Smartphone,,INDIA,no,No,no,Laptop,Yes,no,,3.7,9.0
Tablet,Rahul Mehta,Inda,yes,no,yes,Tablet,Yes,yes,Smartphone,9.0,10.3
No,Rohan Patil,india,No,yes,yes,No,No,Smartphone,Yes,3.7,10.3
No,Ankit Pawar,India,No,No,no,Yes,yes,Yes,Laptop,10.3,2.5
